College Name,Location,Fees,Rating,Reviews,NIRF Ranking,College URL,Course Title,Total Fees,Course Duration,Eligibility Criteria
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,N/A,4.7/5,119 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras/btech-mechanical-engineering-course,B.Tech Mechanical Engineering at IIT Madras (IITM) Offline Course,General₹ 8.58 L,DURATION 48 Months,"The candidates should satisfy at least one of the following two criteria for admission to IIT:(1) Must have secured at least 75% aggregate marks in the Class XII (or equivalent) Board examination. The aggregate marks for SC, ST, and PwD candidates should be at least 65%. Physics, Chemistry, and Mathematics are required as compulsory subjects in Class XII (or equivalent) Board examination.(2) Must be within the category-wise top 20 percentile of successful candidates in their respective Class XII (or equivalent) board examination with Physics, Chemistry, and Mathematics as compulsory subjects.The percentile calculation will be done for the required subjects in a single academic year only. Therefore, candidates appearing for improvement in Board examinations can EITHER appear in one or more subjects and secure 75% aggregate marks (65% for SC, ST, and PwD) after improvement, OR, appear for improvement in ALL subjects to be in top 20 percentile of the corresponding academic year.• The marks scored in the following five subjects will be considered for calculating the aggregate marks and the cut-off marks for fulfilling the top 20 percentile criterion.i. Physicsii. Chemistryiii. Mathematicsiv. A language (if the candidate has taken more than one language, then the language with the higher marks will be considered)v. Any subject other than the above four (the subject with the highest marks will be considered)."
"IISc Bangalore - Indian Institute of Science, Bangalore",N/A,N/A,4.7/5,43 Reviews,NIRF Ranking: 2,https://www.careers360.com/university/indian-institute-of-science-bangalore/mtech-computer-science-and-engineering-course,M.Tech Computer Science and Engineering at IISc Bangalore Offline Course,General₹ 28.40 K,DURATION 24 Months,A Candidate must be passed Bachelor’s degree holders in Engineering/Technology or its equivalent.Bachelor’s degree holders in Physics/ Chemistry/ Mathematics/ Statistics/ Computer Science/ Electronics followed by qualifications obtained through an examination conducted by professional societies recognized by UPSC/AICTE.Master’s degree holders in Science including Physics with Electronics/ Instrumentation/Geology/ Computer Applications/ Physical Sciences/ Mathematical Sciences as applicable to individual departments offering MTech programmes.All the candidates should qualify for the Graduate Aptitude Test in Engineering (GATE) for the M.Tech program.For Sponsored Candidates: BE / B Tech or equivalent degree in Computer Science / Engineering; Information Technology; Information Science/Engineering.
IIT Bombay - Indian Institute of Technology Bombay,N/A,N/A,4.6/5,162 Reviews,NIRF Ranking: 3,https://www.careers360.com/university/indian-institute-of-technology-bombay/btech-mechanical-engineering-course,B.Tech Mechanical Engineering at IIT Bombay Offline Course,General₹ 8.69 L,DURATION 48 Months,"The candidates should satisfy at least one of the following two criteria for admission to IITs:(1) Must have secured at least 75% aggregate marks in the Class XII (or equivalent) Board examination. The aggregate marks for SC, ST, and PwD candidates should be at least 65%. Physics, Chemistry, and Mathematics are required as compulsory subjects in Class XII (or equivalent) Board examination.(2) Must be within the category-wise top 20 percentile of successful candidates in their respective Class XII (or equivalent) board examination with Physics, Chemistry, and Mathematics as compulsory subjects.The percentile calculation will be done for the required subjects in a single academic year only. Therefore, candidates appearing for improvement in Board examinations can EITHER appear in one or more subjects and secure 75% aggregate marks (65% for SC, ST, and PwD) after improvement, OR, appear for improvement in ALL subjects to be in top 20 percentile of the corresponding academic year.• The marks scored in the following five subjects will be considered for calculating the aggregate marks and the cut-off marks for fulfilling the top 20 percentile criterion.i. Physicsii. Chemistryiii. Mathematicsiv. A language (if the candidate has taken more than one language, then the language with the higher marks will be considered)v. Any subject other than the above four (the subject with the highest marks will be considered)."""
IIT Delhi - Indian Institute of Technology Delhi,N/A,N/A,4.6/5,284 Reviews,NIRF Ranking: 4,https://www.careers360.com/university/indian-institute-of-technology-delhi/btech-electrical-engineering-course,B.Tech Electrical Engineering at IIT Delhi Offline Course,General₹ 8.58 L,DURATION 48 Months,"A Candidate for admission to the four-year degree course in Engineering must have passed the Intermediate examination (10+2) of the Board of Intermediate Education with Physics, Chemistry, and Mathematics (PCM) as subjects or any other examination."
IIT Kanpur - Indian Institute of Technology Kanpur,N/A,N/A,4.4/5,161 Reviews,NIRF Ranking: 5,https://www.careers360.com/university/indian-institute-of-technology-kanpur/btech-electrical-engineering-course,B.Tech Electrical Engineering at IIT Kanpur Offline Course,General₹ 8.59 L,DURATION 48 Months,"The candidates should satisfy at least one of the following two criteria for admission to IITs:(1) Must have secured at least 75% aggregate marks in the Class XII (or equivalent) Board examination. The aggregate marks for SC, ST, and PwD candidates should be at least 65%. Physics, Chemistry, and Mathematics are required as compulsory subjects in Class XII (or equivalent) Board examination.(2) Must be within the category-wise top 20 percentile of successful candidates in their respective Class XII (or equivalent) board examination with Physics, Chemistry, and Mathematics as compulsory subjects.The percentile calculation will be done for the required subjects in a single academic year only. Therefore, candidates appearing for improvement in Board examinations can EITHER appear in one or more subjects and secure 75% aggregate marks (65% for SC, ST, and PwD) after improvement, OR, appear for improvement in ALL subjects to be in top 20 percentile of the corresponding academic year.• The marks scored in the following five subjects will be considered for calculating the aggregate marks and the cut-off marks for fulfilling the top 20 percentile criterion.i. Physicsii. Chemistryiii. Mathematicsiv. A language (if the candidate has taken more than one language, then the language with the higher marks will be considered)v. Any subject other than the above four (the subject with the highest marks will be considered)."
IIT Kharagpur - Indian Institute of Technology Kharagpur,N/A,N/A,4.7/5,326 Reviews,NIRF Ranking: 6,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/btech-mechanical-engineering-course,B.Tech Mechanical Engineering at IIT Kharagpur Offline Course,General₹ 8.81 L,DURATION 48 Months,"The final examination of the 10+2 system, conducted by a Central or State Board recognized by the Association of Indian Universities (AIU).Intermediate or two-year Pre-University examination conducted by a Board or University recognized by the Association of Indian Universities.The final examination of the two-year course of the Joint Services Wing of the National Defence Academy.Senior Secondary School Examination conducted by the National Institute of Open Schooling with a minimum of five subjects.Any Public School, Board or University examination in India or in a foreign country recognized as equivalent to the 10+2 system by the AIU.H.S.C. vocational examination.A Diploma recognized by the All India Council for Technical Education (AICTE) or a State Board of Technical Education of at least 3 years duration.General Certificate Education (GCE) examination (London, Cambridge or Sri Lanka) at the Advanced (A) level.High School Certificate Examination of the Cambridge University or International Baccalaureate Diploma of the International Baccalaureate Office, Geneva.Candidates who have completed Class XII (or equivalent) examination outside India or from a Board not specified above should produce a certificate from the AIU to the effect that the examination they have passed is equivalent to the Class XII examination."
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,N/A,N/A,4.6/5,23 Reviews,NIRF Ranking: 7,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi/bsc-nursing-hons-course,B.Sc Nursing Hons at AIIMS Delhi Offline Course,General₹ 6.26 K,DURATION 48 Months,"The candidate should have minimum aggregate marks required in qualifying examination i.e. 10+2 or equivalent:55% for Gen/OBC (50% in case of SCs/STs categories) in aggregate in English, Physics, Chemistry and Biology50% for Gen / OBC (45% in case of SCs / STs Categories) in aggregate in English, Physics, Chemistry and either Biology OR Mathematics.Note: 2. a) Candidates who are to appear in 12th class examination under 10+2 system or an equivalent examination in March/April 2018 and whose results are likely to be declared before 30th June, 2018 are also eligible to apply for B.Sc. (Hons.) Nursing, Bachelor of Optometry andB.Sc.(Hons.) Medical Technology in Radiography Courses. b) Candidates who are due to appear at the qualifying examination, or have already appeared and are awaiting result, can also apply for admission. But such candidates must furnish proof of passing the qualifying examination with requisite percentage of marks and subjects at the time of counselling failing which their candidature will be cancelled."
IIT Roorkee - Indian Institute of Technology Roorkee,N/A,N/A,4.4/5,410 Reviews,NIRF Ranking: 8,https://www.careers360.com/university/indian-institute-of-technology-roorkee/btech-civil-engineering-course,B.Tech Civil Engineering at IIT Roorkee Offline Course,General₹ 8.90 L,DURATION 48 Months,"The final examination of the 10+2 system, conducted by a Central or State Board recognized by the Association of Indian Universities (AIU).Intermediate or two-year Pre-University examination conducted by a Board or University recognized by the Association of Indian Universities.Final examination of the two-year course of the Joint Services Wing of the National Defence Academy.Senior Secondary School Examination conducted by the National Institute of Open Schooling with a minimum of five subjects.Any Public School, Board or University examination in India or in a foreign country recognized as equivalent to the 10+2 system by the AIU.H.S.C. vocational examination.A Diploma recognized by the All India Council for Technical Education (AICTE) or a State Board of Technical Education of at least 3 years duration.General Certificate Education (GCE) examination (London, Cambridge or Sri Lanka) at the Advanced (A) level.High School Certificate Examination of the Cambridge University or International Baccalaureate Diploma of the International Baccalaureate Office, Geneva.Candidates who have completed Class XII (or equivalent) examination outside India or from a Board not specified above should produce a certificate from the AIU to the effect that the examination they have passed is equivalent to the Class XII examination.In case the Class XII examination is not a public examination, the candidate must have passed at least one public (Board or Pre-University) examination earlier."
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,N/A,N/A,4.3/5,187 Reviews,NIRF Ranking: 9,https://www.careers360.com/university/indian-institute-of-technology-guwahati/btech-mechanical-engineering-course,B.Tech Mechanical Engineering at IIT Guwahati (IITG) Offline Course,General₹ 8.54 L,DURATION 48 Months,"The candidate must be the final examination of the 10+2 system, conducted by a Central or State Board recognized by the Association of Indian Universities (AIU).Intermediate or two-year Pre-University examination conducted by a Board or University recognized by the Association of Indian Universities.Final examination of the two-year course of the Joint Services Wing of the National Defence Academy.Senior Secondary School Examination conducted by the National Institute of Open Schooling with a minimum of five subjects.Any Public School, Board or University examination in India or in a foreign country recognized as equivalent to the 10+2 system by the AIU.H.S.C. vocational examination. A Diploma recognized by the All India Council for Technical Education (AICTE) or a State Board of Technical Education of at least 3 years duration."
"JNU Delhi - Jawaharlal Nehru University, New Delhi",N/A,N/A,4.5/5,86 Reviews,NIRF Ranking: 10,https://www.careers360.com/colleges/faculty-of-technology-national-defence-academy-pune/btech-applied-electronics-and-communication-engineering-course,"B.Tech Applied Electronics and Communication Engineering at Faculty of Technology, National Defence Academy, Pune Offline Course",N/A,DURATION 48 Months,"Passed 10+2 examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry/ Biotechnology/ Biology/ Technical Vocational subject/ Computer Science/ Information Technology/ Informatics Practices/ Agriculture/ Engineering Graphics/ Business Studies. Obtained at least 45% marks (40% marks in case of candidates belonging to reserved category) in the above subjects taken together. OR Passed Diploma (in Engineering and Technology) examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) subject to vacancies in the First Year, in case the vacancies at lateral entry are exhausted."
"BHU Varanasi - Banaras Hindu University, Varanasi",N/A,N/A,4.4/5,505 Reviews,NIRF Ranking: 11,https://www.careers360.com/university/banaras-hindu-university-varanasi/bsc-agriculture-hons-course,B.Sc Agriculture Hons at BHU Varanasi Offline Course,General₹ 80.00 K,DURATION 48 Months,"A candidate shall be eligible for admission to B.Sc. (Hons.) Ag., if he/she has passed 10+2/Intermediate examination in agriculture or in Science (with Physics, Chemistry and Mathematics/Biology) or any other equivalent examination recognized by the University securing at least 50% marks in aggregate. For Scheduled Caste/Scheduled Tribe candidates, the eligibility will be as per the University rules."
IIT Hyderabad - Indian Institute of Technology Hyderabad,N/A,N/A,4.6/5,28 Reviews,NIRF Ranking: 12,https://www.careers360.com/university/indian-institute-of-technology-hyderabad/btech-computer-science-and-engineering-course,B.Tech Computer Science and Engineering at IIT Hyderabad Offline Course,General₹ 9.08 L,DURATION 48 Months,"The final examination of the 10+2 system, conducted by a Central or State Board recognized by the Association of Indian Universities (AIU).intermediate or two-year Pre-University examination conducted by a Board or University recognized by the Association of Indian Universities.Final examination of the two-year course of the Joint Services Wing of the National Defence Academy.Senior Secondary School Examination conducted by the National Institute of Open Schooling with a minimum of five subjects.Any Public School, Board or University examination in India or in a foreign country recognized as equivalent to the 10+2 system by the AIU.H.S.C. vocational examination.A Diploma recognized by the All India Council for Technical Education (AICTE) or a State Board of Technical Education of at least 3 years duration.General Certificate Education (GCE) examination (London, Cambridge or Sri Lanka) at the Advanced (A) level.High School Certificate Examination of the Cambridge University or International Baccalaureate Diploma of the International Baccalaureate Office, Geneva.Candidates who have completed Class XII (or equivalent) examination outside India or from a Board not specified above should produce a certificate from the AIU to the effect that the examination they have passed is equivalent to the Class XII examination.In case the Class XII examination is not a public examination, the candidate must have passed at least one public (Board or Pre-University) examination earlier."
"JMI New Delhi - Jamia Millia Islamia, New Delhi",N/A,N/A,4.5/5,405 Reviews,NIRF Ranking: 13,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/btech-civil-engineering-course,,,,
"Manipal Academy of Higher Education (MAHE) - Manipal Academy of Higher Education, Manipal",N/A,N/A,4.5/5,31 Reviews,NIRF Ranking: 14,https://www.careers360.com/colleges/manipal-institute-of-technology-manipal/btech-computer-science-and-engineering-course,,,,
"DU Delhi - University of Delhi, Delhi",N/A,N/A,4.2/5,280 Reviews,NIRF Ranking: 15,https://www.careers360.com/colleges/lady-irwin-college-new-delhi/bsc-home-science-course,,,,
"AMU Aligarh - Aligarh Muslim University, Aligarh",N/A,N/A,4.7/5,417 Reviews,NIRF Ranking: 16,https://www.careers360.com/colleges/zakir-husain-college-of-engineering-and-technology-aligarh-muslim-university-aligarh/btech-mechanical-engineering-course,,,,
"Jadavpur University, Kolkata",N/A,N/A,4.6/5,231 Reviews,NIRF Ranking: 17,https://www.careers360.com/university/jadavpur-university-kolkata/be-civil-engineering-course,,,,
"Amrita Vishwa Vidyapeetham, Coimbatore",N/A,N/A,4.3/5,121 Reviews,NIRF Ranking: 18,https://www.careers360.com/colleges/amrita-school-of-engineering-coimbatore/btech-computer-science-and-engineering-course,,,,
"VIT Vellore - Vellore Institute of Technology, Vellore",N/A,N/A,4.4/5,798 Reviews,NIRF Ranking: 19,https://www.careers360.com/colleges/vellore-institute-of-technology-chennai-campus/btech-computer-science-and-engineering-course,,,,
"SRM University Chennai - SRM Institute of Science and Technology, Chennai",N/A,N/A,4.3/5,736 Reviews,NIRF Ranking: 21,https://www.careers360.com/university/srm-institute-of-science-and-technology-chennai/btech-electronics-and-communication-engineering-course,,,,
"BITS Pilani - Birla Institute of Technology and Science, Pilani",N/A,N/A,4.5/5,266 Reviews,NIRF Ranking: 23,https://www.careers360.com/university/birla-institute-of-technology-and-science-pilani/bpharma-hons-course,,,,
"Siksha 'O' Anusandhan, Bhubaneswar",N/A,N/A,4.1/5,151 Reviews,NIRF Ranking: 24,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar/btech-computer-science-and-engineering-course,,,,
"University of Hyderabad - University of Hyderabad, Hyderabad",N/A,N/A,4.8/5,37 Reviews,NIRF Ranking: 25,https://www.careers360.com/university/university-of-hyderabad-hyderabad/msc-mathematics-course,,,,
"Calcutta University - University of Calcutta, Kolkata",N/A,N/A,4.2/5,57 Reviews,NIRF Ranking: 26,https://www.careers360.com/colleges/bangabasi-college-kolkata/bsc-course,,,,
"Homi Bhabha National Institute, Mumbai",N/A,N/A,N/A,N/A,NIRF Ranking: 27,https://www.careers360.com/colleges/tata-memorial-hospital-mumbai/mch-surgical-oncology-course,,,,
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",N/A,N/A,4.3/5,567 Reviews,NIRF Ranking: 28,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar/btech-computer-science-and-engineering-course,,,,
IIT Gandhinagar (IIT GN) - Indian Institute of Technology Gandhinagar,N/A,N/A,4.4/5,21 Reviews,NIRF Ranking: 29,https://www.careers360.com/university/indian-institute-of-technology-gandhinagar/msc-chemistry-course,,,,
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,N/A,N/A,4.6/5,161 Reviews,NIRF Ranking: 30,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi/btech-chemical-engineering-course,,,,
NIT Trichy - National Institute of Technology Tiruchirappalli,N/A,N/A,4.4/5,305 Reviews,NIRF Ranking: 31,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli/btech-computer-science-and-engineering-course,,,,
IIT Indore - Indian Institute of Technology Indore,N/A,N/A,4.6/5,36 Reviews,NIRF Ranking: 33,https://www.careers360.com/university/indian-institute-of-technology-indore/btech-mechanical-engineering-course,,,,
NIT Rourkela - National Institute of Technology Rourkela,N/A,N/A,4.6/5,341 Reviews,NIRF Ranking: 34,https://www.careers360.com/university/national-institute-of-technology-rourkela/btech-computer-science-and-engineering-course,,,,
IIT ISM Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,N/A,N/A,4.3/5,204 Reviews,NIRF Ranking: 35,https://www.careers360.com/university/indian-institute-of-technology-indian-school-of-mines-dhanbad/btech-computer-science-and-engineering-course,,,,
"JSS Academy of Higher Education and Research, Mysuru",N/A,N/A,4.2/5,2 Reviews,NIRF Ranking: 36,https://www.careers360.com/colleges/school-of-life-sciences-jss-academy-of-higher-education-and-research-mysuru/msc-microbiology-course,,,,
"UNIPUNE (Pune University) - Savitribai Phule Pune University, Pune",N/A,N/A,4.3/5,72 Reviews,NIRF Ranking: 37,https://www.careers360.com/colleges/fergusson-college-pune/bsc-course,,,,
"Kerala University - University of Kerala, Thiruvananthapuram",N/A,N/A,4.5/5,4 Reviews,NIRF Ranking: 38,https://www.careers360.com/colleges/university-college-of-engineering-kariavattom/btech-computer-science-and-engineering-course,,,,
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry,N/A,N/A,4.8/5,6 Reviews,NIRF Ranking: 39,https://www.careers360.com/university/jawaharlal-institute-of-postgraduate-medical-education-and-research-puducherry/bsc-nursing-course,,,,
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",N/A,N/A,4.4/5,151 Reviews,NIRF Ranking: 40,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur/btech-electronics-and-communication-engineering-course,,,,
IISER Pune - Indian Institute of Science Education and Research Pune,N/A,N/A,4.1/5,8 Reviews,NIRF Ranking: 42,https://www.careers360.com/university/indian-institute-of-science-education-and-research-pune/phd-biology-course,,,,
